Wall time,Step,Value
1778725463.6573975,60,337.3014831542969
1778725467.037952,70,327.300537109375
1778725480.5721269,110,336.11798095703125
1778725483.974093,120,341.349609375
1778725494.488673,150,349.161376953125
1778725498.147457,160,348.0138854980469
1778725508.5833218,190,346.0834045410156
1778725512.0501935,200,339.9183654785156
1778725515.5223496,210,345.6685485839844
1778725529.9216492,250,337.14031982421875
1778725572.3315678,370,338.02294921875
1778725586.4624412,410,337.6018981933594
1778725593.4123166,430,347.0008239746094
1778725600.4078445,450,342.66375732421875
1778725603.975404,460,342.69976806640625
1778725610.9306245,480,342.46038818359375
1778725617.9563408,500,354.0146484375
1778725632.108466,540,346.3330383300781
1778725635.63176,550,343.8890075683594
1778725639.1212525,560,338.6485595703125
1778725642.653412,570,350.1579895019531
1778725646.1805782,580,344.6059265136719
1778725667.44589,640,346.3072814941406
1778725674.484432,660,349.98583984375
1778725678.0271893,670,340.5339660644531
1778725681.5553741,680,350.799072265625
1778725685.0751836,690,350.9685974121094
1778725695.5664299,720,348.86480712890625
1778725698.7888355,730,286.8080139160156
1778725701.6513755,740,282.3927307128906
1778725705.0545862,750,341.7806701660156
1778725722.8080103,800,371.4969177246094
1778725740.7225206,850,343.38616943359375
1778725751.2758098,880,346.52398681640625
1778725754.8898177,890,351.92822265625
1778725776.3623452,950,367.9800109863281
1778725805.229604,1030,356.1623229980469
1778725816.0136151,1060,349.06793212890625
1778725819.6549819,1070,365.3757629394531
1778725844.9862244,1140,349.02740478515625
1778725856.0036206,1170,358.40655517578125
1778725863.1734009,1190,362.17449951171875
1778725888.7420142,1260,360.29315185546875
1778725892.3219783,1270,351.8862609863281
1778725903.113493,1300,375.87451171875
1778725906.6871598,1310,355.9014892578125
1778725932.9223518,1380,347.45477294921875
1778725940.05958,1400,388.3955383300781
1778725947.1080468,1420,352.49090576171875
1778725950.7976053,1430,365.80682373046875
1778725954.5008461,1440,364.9208679199219
1778725980.6166623,1510,378.082763671875
1778725999.449301,1560,367.75445556640625
1778726006.9199798,1580,363.3427734375
1778726010.5925584,1590,359.8031921386719
1778726014.2955074,1600,389.9276123046875
1778726025.4797323,1630,372.0545654296875
1778726036.5206587,1660,347.6576843261719
1778726043.7818546,1680,365.4894714355469
1778726047.4547474,1690,359.822265625
1778726058.5219305,1720,363.504638671875
1778726080.4950135,1780,351.400390625
1778726084.1913023,1790,362.8909606933594
1778726092.0084548,1810,368.0024108886719
1778726103.4211235,1840,375.4968566894531
1778726110.8211083,1860,358.10638427734375
1778726114.5566728,1870,358.26922607421875
1778726122.0838568,1890,365.13470458984375
1778726129.504046,1910,354.522705078125
1778726133.102384,1920,350.494384765625
1778726159.2818975,1990,353.5315856933594
1778726189.3372755,2070,393.90301513671875
1778726193.1059306,2080,361.6123046875
1778726196.8430772,2090,364.5515441894531
1778726212.058458,2130,360.65863037109375
1778726250.0614097,2230,370.615234375
1778726253.869707,2240,376.8870849609375
1778726261.382618,2260,364.2206115722656
1778726268.907233,2280,368.1342468261719
1778726276.680899,2300,442.8372497558594
1778726288.343641,2330,360.44287109375
1778726292.1285033,2340,360.2452392578125
1778726295.8446457,2350,365.7784423828125
1778726307.4305503,2380,394.40966796875
1778726345.566398,2480,373.6219482421875
1778726353.2702491,2500,407.6044616699219
1778726375.981888,2560,375.8761901855469
1778726387.6141531,2590,365.4494323730469
1778726391.322258,2600,393.8071594238281
1778726395.0792575,2610,363.1474914550781
1778726398.910137,2620,379.07861328125
1778726407.1596248,2640,378.87310791015625
1778726422.439136,2680,365.122802734375
1778726429.972995,2700,407.725341796875
1778726438.057004,2720,383.6347961425781
1778726445.9172714,2740,377.2022705078125
1778726465.5469751,2790,400.9087219238281
1778726489.0683556,2850,358.14166259765625
1778726516.3682184,2920,396.18182373046875
1778726520.3444748,2930,371.8781433105469
1778726539.4289265,2980,387.4697570800781
1778726543.4514987,2990,394.5929870605469
1778726555.581897,3020,390.3045654296875
1778726559.598,3030,385.9765625
1778726563.806623,3040,384.8655090332031
1778726580.034597,3080,393.89300537109375
1778726584.1780512,3090,389.99676513671875
1778726592.372953,3110,402.81463623046875
1778726605.4280736,3140,409.05450439453125
1778726622.131117,3180,391.71099853515625
1778726626.2124846,3190,387.14337158203125
1778726630.393875,3200,491.0750427246094
1778726634.8996117,3210,396.56353759765625
1778726643.2278335,3230,397.3000183105469
1778726655.6989238,3260,401.81781005859375
1778726659.796529,3270,434.1847839355469
1778726663.9156492,3280,405.1852111816406
1778726676.3323848,3310,410.30572509765625
1778726688.8487988,3340,401.39508056640625
1778726713.5675597,3400,451.5430908203125
1778726721.9560196,3420,408.0061950683594
1778726734.452452,3450,406.39306640625
1778726738.6266174,3460,406.8653564453125
1778726746.9487457,3480,392.2815246582031
1778726751.119795,3490,402.5823974609375
1778726772.174614,3540,399.79290771484375
1778726776.3112645,3550,391.6637878417969
1778726792.8157382,3590,405.3535461425781
1778726801.164734,3610,396.9185485839844
1778726813.7774713,3640,477.7471923828125
1778726830.5808134,3680,418.38311767578125
1778726847.7955508,3720,404.0152893066406
1778726856.2104356,3740,399.07598876953125
1778726873.7152727,3780,410.9439697265625
1778726877.9184434,3790,405.06793212890625
1778726882.2750406,3800,488.39569091796875
1778726890.982572,3820,441.36334228515625
1778726912.6159437,3870,420.8262023925781
1778726916.9687252,3880,442.9736022949219
1778726934.096676,3920,401.5822448730469
1778726938.407053,3930,412.027587890625
1778726942.7504148,3940,410.583984375
1778726986.5865898,4040,421.6172790527344
1778727008.6246254,4090,403.57733154296875
1778727039.2060108,4160,410.2518615722656
1778727043.5087557,4170,410.837890625
1778727065.5576046,4220,393.3479919433594
1778727069.8293505,4230,407.3295593261719
1778727078.3210385,4250,404.06085205078125
1778727087.1208513,4270,470.37457275390625
1778727104.8360355,4310,426.3966064453125
1778727143.986174,4400,473.2613525390625
1778727152.5712373,4420,409.85919189453125
1778727156.8928604,4430,421.6883239746094
1778727170.0954742,4460,430.71697998046875
1778727196.2900465,4520,419.769775390625
1778727232.1638396,4600,480.7901306152344
1778727236.5452633,4610,400.3558044433594
1778727240.9205697,4620,401.13592529296875
1778727249.9104269,4640,439.84722900390625
1778727254.4915977,4650,421.9529724121094
1778727268.996945,4680,427.3798522949219
1778727273.4405866,4690,416.00347900390625
1778727296.2539713,4740,416.484130859375
1778727300.7965605,4750,443.56298828125
1778727350.488857,4860,430.90533447265625
1778727364.227503,4890,427.4990539550781
1778727368.7269492,4900,488.8601379394531
1778727377.7927954,4920,433.5639343261719
1778727386.967749,4940,427.062744140625
1778727400.6733158,4970,441.6048583984375
1778727468.2088041,5080,431.5733947753906
1778727486.5389972,5120,427.98114013671875
1778727491.0392928,5130,420.4761962890625
1778727500.2768886,5150,432.2748107910156
1778727514.0920544,5180,427.74151611328125
1778727523.4760387,5200,500.112060546875
1778727546.561764,5250,437.03411865234375
1778727551.2790115,5260,461.0099792480469
1778727579.0772238,5320,425.201416015625
1778727588.783509,5340,425.6634826660156
1778727593.416151,5350,515.5973510742188
1778727597.9437451,5360,440.3431396484375
1778727603.0725,5370,410.93182373046875
1778727607.9913323,5380,426.4640808105469
1778727612.6800249,5390,436.9363708496094
1778727622.3595304,5410,457.5147705078125
1778727632.0058725,5430,478.2967529296875
1778727655.6284828,5480,425.527099609375
1778727660.2434335,5490,412.546142578125
1778727664.932277,5500,543.6806640625
1778727674.313557,5520,416.3119812011719
1778727692.4357371,5560,430.3016662597656
1778727701.5005844,5580,437.54315185546875
1778727710.7026665,5600,526.4093627929688
